title,author,genres
Sharpes Tiger Sharpe 1,"Cornwell, Bernard *","['Historical Fiction', 'Fiction', 'Historical', 'Adventure', 'War', 'Military Fiction', 'India']"
Beautiful Criminals,"Tipton, Eric","['Fiction', 'Contemporary']"
The Voyage of the Frog,"Paulsen, Gary","['Fiction', 'Adventure', 'Young Adult', 'Realistic Fiction', 'Survival', 'Childrens', 'Middle Grade']"
Meddling Kids,"Cantero, Edgar *","['Horror', 'Mystery', 'Fiction', 'Fantasy', 'Paranormal', 'Humor', 'Adult']"
The House on the Beach Pilgrim Cove 1,"Barrett, Linda *","['Romance', 'Contemporary', 'Contemporary Romance', 'Fiction', 'Amazon', 'Chick Lit', 'Adult']"
The Lioness of Morocco,"Drosten, Julia *","['Historical Fiction', 'Fiction', 'Africa', 'Romance', 'Morocco', 'Historical', 'Cultural']"
Queen of Sorcery The Belgariad Book 2,"Eddings, David","['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Young Adult', 'Adventure', 'Science Fiction Fantasy']"
The Breaking Light Split City 1,"Hansen, Heather *","['Young Adult', 'Science Fiction', 'Fantasy', 'Fiction', 'Dystopia', 'Romance', 'Amazon']"
Hold Back the Stars,"Khan, Katie *","['Romance', 'Science Fiction', 'Fiction', 'Young Adult', 'Space', 'Dystopia', 'Adult']"
Luck and Judgment Luck and Judgment 1,"Carter, Solomon","['Thriller', 'Fiction', 'Mystery Thriller', 'Amazon', 'Detective', 'Mystery']"
Worlds Collide The Land of Stories 6,"Colfer, Chris","['Fantasy', 'Middle Grade', 'Fiction', 'Young Adult', 'Adventure', 'Magic', 'Fairy Tales']"
Billy Londons Girls,"Hamilton, Ruth",['Fiction']
About a Dragon Dragon Kin 2,"Aiken, G.A.","['Fantasy', 'Dragons', 'Romance', 'Paranormal Romance', 'Paranormal', 'Shapeshifters', 'Magic']"
And the Hippos Were Boiled in Their Tanks,"Burroughs, William S.","['Fiction', 'Classics', 'Crime', 'Novels', 'Literature', 'American', 'The United States Of America']"
Secondborn Secondborn 1,"Bartol, Amy A. *","['Fantasy', 'Young Adult', 'Dystopia', 'Science Fiction', 'Romance', 'New Adult', 'Fiction']"
The Clue in the Diary Nancy Drew Mystery Stories 7,"Keene, Carolyn","['Mystery', 'Fiction', 'Young Adult', 'Childrens', 'Classics', 'Middle Grade', 'Mystery Thriller']"
The Secret of the Old Clock Nancy Drew Mystery Stories 1,"Keene, Carolyn","['Mystery', 'Young Adult', 'Fiction', 'Classics', 'Childrens', 'Middle Grade', 'Mystery Thriller']"
The Mystery at the Mosscovered Mansion Nancy Drew Mystery Stories 18,"Keene, Carolyn","['Mystery', 'Fiction', 'Young Adult', 'Childrens', 'Classics', 'Middle Grade', 'Mystery Thriller']"
The Insulted and Humiliated,"Dostoevsky, Fyodor","['Classics', 'Fiction', 'Russian Literature', 'Russia', 'Novels', 'Literature', '19th Century']"
The Mystery of the BrassBound Trunk Nancy Drew Mystery Stories 17,"Keene, Carolyn","['Mystery', 'Fiction', 'Young Adult', 'Childrens', 'Classics', 'Middle Grade', 'Mystery Thriller']"
The Haunted Bridge Nancy Drew Mystery Stories 15,"Keene, Carolyn","['Mystery', 'Fiction', 'Young Adult', 'Childrens', 'Classics', 'Middle Grade', 'Mystery Thriller']"
Something in the Way Something in the Way 1,"Hawkins, Jessica *","['Romance', 'New Adult', 'Contemporary Romance', 'Contemporary', 'Young Adult', 'Coming Of Age', 'High School']"
Isola,"Abedi, Isabel","['Young Adult', 'Thriller', 'German Literature', 'Mystery', 'Fantasy', 'Romance', 'Contemporary']"
The Virgin Queens Daughter,"Chase, Ella March *","['Historical Fiction', 'Historical', 'Fiction', 'Tudor Period', 'British Literature', '16th Century', 'Historical Romance']"
The Mystery of Edwin Drood,"Dickens, Charles","['Classics', 'Fiction', 'Mystery', '19th Century', 'Victorian', 'Literature', 'Historical Fiction']"
Ins of My Soul,"Allende, Isabel *","['Historical Fiction', 'Fiction', 'Historical', 'Romance', 'Spanish Literature', 'Magical Realism', 'Novels']"
The Moomins and the Great Flood The Moomins 1,"Jansson, Tove","['Fantasy', 'Childrens', 'Fiction', 'Classics', 'Middle Grade', 'Finnish Literature', 'Adventure']"
Stags Run Iron Breakers 1,"Feli, Zaya *","['Fantasy', 'LGBT', 'M M Romance', 'Romance', 'Queer', 'Young Adult', 'Adventure']"
Himself,"Kidd, Jess *","['Fiction', 'Mystery', 'Magical Realism', 'Fantasy', 'Ireland', 'Historical Fiction', 'Irish Literature']"
The Member of the Wedding,"McCullers, Carson","['Fiction', 'Classics', 'Coming Of Age', 'Southern', 'Novels', 'Young Adult', 'Literary Fiction']"
City of the Beasts Eagle and Jaguar 1,"Allende, Isabel *","['Fantasy', 'Young Adult', 'Fiction', 'Adventure', 'Magical Realism', 'Spanish Literature', 'Novels']"
Dreaming of You The Gamblers of Cravens 2,"Kleypas, Lisa *","['Historical Romance', 'Romance', 'Historical', 'Historical Fiction', 'Regency', 'Fiction', 'Adult']"
The Subterraneans,"Kerouac, Jack","['Fiction', 'Classics', 'Literature', 'Novels', 'American', 'The United States Of America', '20th Century']"
The Doomsday Prophecy Ben Hope 3,"Mariani, Scott *","['Thriller', 'Fiction', 'Mystery', 'Adventure', 'Action', 'Crime', 'Historical Fiction']"
The Gates of Rome Emperor 1,"Iggulden, Conn","['Historical Fiction', 'Fiction', 'Historical', 'Fantasy', 'Roman', 'War', 'Italy']"
Out of Reach,"McGregor, Elizabeth","['Mystery', 'Thriller', 'Fiction']"
Refugee,"Gratz, Alan *","['Historical Fiction', 'Young Adult', 'Middle Grade', 'Fiction', 'Historical', 'Realistic Fiction', 'War']"
I Know a Secret Rizzoli  Isles 12,"Gerritsen, Tess *","['Mystery', 'Thriller', 'Crime', 'Fiction', 'Mystery Thriller', 'Suspense', 'Detective']"
The End of Temperance Dare,"Webb, Wendy *","['Horror', 'Mystery', 'Gothic', 'Fiction', 'Paranormal', 'Thriller', 'Suspense']"
An American Tragedy,"Dreiser, Theodore","['Classics', 'Fiction', 'Literature', 'Historical Fiction', 'American', 'Novels', 'Banned Books']"
Extreme Measures Mitch Rapp 11,"Flynn, Vince","['Fiction', 'Thriller', 'Espionage', 'Mystery', 'Action', 'Suspense', 'Spy Thriller']"
Bad Little Girl,"Vick, Frances *","['Mystery', 'Thriller', 'Psychological Thriller', 'Suspense', 'Fiction', 'Crime', 'Mystery Thriller']"
Eden,"Arlin, Tommy","['Zombies', 'Horror', 'Fiction', 'Post Apocalyptic', 'Science Fiction', 'Dystopia', 'Apocalyptic']"
The Cowboy and the Kid Tanner Brothers 4 Code of the West 4,"McAllister, Anne","['Romance', 'Contemporary', 'Contemporary Romance', 'Westerns', 'Amazon', 'Western Romance', 'Humor']"
I Dont Want to Have Hot Toes Lisbons Misadventures 2,"Branton, Rachel *",['Childrens']
The Steel Remains A Land Fit for Heroes 1,"Morgan, Richard K.","['Fantasy', 'Fiction', 'LGBT', 'Dark Fantasy', 'Queer', 'Epic Fantasy', 'High Fantasy']"
Paint it Black,"Fitch, Janet *","['Fiction', 'Contemporary', 'Adult', 'Romance', 'Drama', 'Literature', 'Chick Lit']"
Attack of the Seawolf Michael Pacino 2,"DiMercurio, Michael","['Fiction', 'Thriller', 'Military Fiction', 'War']"
The Risk Mindfck 1,"Abby, S.T.","['Romance', 'Dark', 'Thriller', 'Contemporary', 'Mystery', 'Crime', 'Adult']"
Moxie,"Mathieu, Jennifer *","['Young Adult', 'Contemporary', 'Feminism', 'Fiction', 'Realistic Fiction', 'Romance', 'Young Adult Contemporary']"
Keturah and Lord Death,"Leavitt, Martine","['Fantasy', 'Young Adult', 'Romance', 'Fairy Tales', 'Historical Fiction', 'Fiction', 'Historical']"
Flipped,"Van Draanen, Wendelin *","['Young Adult', 'Romance', 'Fiction', 'Contemporary', 'Realistic Fiction', 'Middle Grade', 'Childrens']"
The 3 Mistakes of My Life,"Bhagat, Chetan","['Fiction', 'Indian Literature', 'India', 'Romance', 'Novels', 'Contemporary', 'Young Adult']"
Arctic Chill Inspector Erlendur 7,"Indriðason, Arnaldur","['Mystery', 'Crime', 'Fiction', 'Thriller', 'Nordic Noir', 'Scandinavian Literature', 'Mystery Thriller']"
Dakota Dreams,"Baker, Madeline","['Historical Romance', 'Romance', 'Native American', 'Historical', 'Westerns', 'Fiction', 'Historical Fiction']"
Mother Night,"Vonnegut, Kurt, Jr.","['Fiction', 'Classics', 'Historical Fiction', 'War', 'Literature', 'Novels', 'Humor']"
The Painted Man Demon Cycle 1,"Brett, Peter V. *","['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Magic', 'Adventure', 'Dark Fantasy']"
The First Rule of Punk,"Perez, Celia C.","['Middle Grade', 'Realistic Fiction', 'Fiction', 'Music', 'Young Adult', 'Childrens', 'Contemporary']"
Inca Gold Dirk Pitt Adventures Book 12,"Cussler, Clive","['Adventure', 'Fiction', 'Thriller', 'Action', 'Mystery', 'Suspense', 'Historical Fiction']"
Say Youre Sorry Morgan Dane 1,"Leigh, Melinda *","['Mystery', 'Thriller', 'Fiction', 'Suspense', 'Romance', 'Romantic Suspense', 'Mystery Thriller']"
One Flew Over the Cuckoos Nest,"Kesey, Ken","['Fiction', 'Classics', 'Psychology', 'Literature', 'Novels', 'Mental Health', 'School']"
Runaway,"Van Draanen, Wendelin *","['Young Adult', 'Realistic Fiction', 'Fiction', 'Contemporary', 'Survival', 'Middle Grade', 'Abuse']"
English as a Second Language,"Crane, Megan *","['Chick Lit', 'Fiction', 'Romance', 'Adult Fiction', 'Adult', 'Humor', 'Contemporary Romance']"
Sidetracked Mindfck 2,"Abby, S.T.","['Romance', 'Dark', 'Thriller', 'Contemporary', 'Mystery', 'Crime', 'Adult']"
The Seas,"Hunt, Samantha","['Fiction', 'Magical Realism', 'Fantasy', 'Contemporary', 'Literary Fiction', 'Romance', 'Mermaids']"
Incarceron Incarceron 1,"Fisher, Catherine","['Fantasy', 'Young Adult', 'Dystopia', 'Science Fiction', 'Steampunk', 'Fiction', 'Adventure']"
Trying to Live With the Dead The Veil Diaries 1,"Brunnemer, B.L. *","['Reverse Harem', 'Paranormal', 'Fantasy', 'Romance', 'Young Adult', 'Ghosts', 'High School']"
Little Boy Lost,"Trafford, J.D. *","['Mystery', 'Fiction', 'Thriller', 'Mystery Thriller', 'Crime', 'Suspense', 'Contemporary']"
Wolves of Winter Navajo Nation Mystery 6,"Chappell, R. Allen","['Mystery', 'Native American', 'Fiction']"
The Shadow Thieves Cronus Chronicles 1,"Ursu, Anne *","['Fantasy', 'Mythology', 'Young Adult', 'Middle Grade', 'Fiction', 'Adventure', 'Childrens']"
Wait for It,"Zapata, Mariana *","['Romance', 'Contemporary', 'Contemporary Romance', 'New Adult', 'Adult', 'Sports', 'Fiction']"
Leven Thumps and the Wrath of Ezra Leven Thumps 4,"Skye, Obert","['Fantasy', 'Young Adult', 'Fiction', 'Adventure', 'Middle Grade', 'Magic', 'Childrens']"
Scarlet Angel Mindfck 3,"Abby, S.T.","['Romance', 'Dark', 'Thriller', 'Contemporary', 'Mystery', 'Crime', 'Adult']"
The Garment Makers Daughter,"Stern, Hillary Adrienne *","['Historical Fiction', 'Fiction', 'Historical', 'Amazon', 'Romance', 'Jewish', 'Literary Fiction']"
Second Chance Drama High 2,"Divine, L. *","['Young Adult', 'Drama', 'Romance', 'Realistic Fiction', 'Teen', 'Contemporary', 'African American']"
Skinny Melon And Me Diary 1,"Ure, Jean","['Childrens', 'Young Adult', 'Fiction', 'Coming Of Age', 'Contemporary', 'Chick Lit']"
Murphy,"Beckett, Samuel","['Fiction', 'Classics', 'Irish Literature', 'Ireland', 'Literature', 'Novels', '20th Century']"
Junie B First Grader Dumb Bunny Junie B Jones 27,"Park, Barbara","['Childrens', 'Fiction', 'Chapter Books', 'Realistic Fiction', 'Juvenile', 'Humor', '1st Grade']"
Junie B Jones and That Meanie Jims Birthday Junie B Jones 6,"Park, Barbara","['Childrens', 'Fiction', 'Chapter Books', 'Humor', 'Realistic Fiction', 'Juvenile', 'School']"
Junie B Jones Is a Beauty Shop Guy Junie B Jones 11,"Park, Barbara","['Childrens', 'Fiction', 'Chapter Books', 'Humor', 'Realistic Fiction', 'Juvenile', 'Middle Grade']"
Amber Brown Goes Fourth Amber Brown 3,"Danziger, Paula","['Childrens', 'Middle Grade', 'Fiction', 'Chapter Books', 'Realistic Fiction', 'School', 'Contemporary']"
The Castle,"Kafka, Franz","['Fiction', 'Literature', 'German Literature', 'Philosophy', 'Classics', 'Novels', 'Czech Literature']"
The Darkest Sunrise The Darkest Sunrise 1,"Martinez, Aly *","['Romance', 'Contemporary Romance', 'Contemporary', 'Dark', 'Adult', 'Suspense', 'New Adult']"
All the Lies Mindfck 4,"Abby, S.T.","['Romance', 'Dark', 'Thriller', 'Contemporary', 'Mystery', 'Adult', 'Crime']"
Paint It All Red Mindfck 5,"Abby, S.T.","['Romance', 'Dark', 'Thriller', 'Contemporary', 'Mystery', 'Adult', 'Crime']"
Mama Day,"Naylor, Gloria","['Fiction', 'Magical Realism', 'Fantasy', 'African American', 'Classics', 'Feminism', 'Literary Fiction']"
Forbidden Pleasure Bound Hearts 8,"Leigh, Lora","['Romance', 'Menage', 'Erotic Romance', 'BDSM', 'Erotica', 'Contemporary Romance', 'Contemporary']"
Rabbit Hill,"Lawson, Robert","['Childrens', 'Fiction', 'Animals', 'Fantasy', 'Classics', 'Middle Grade', 'Juvenile']"
Banner in the Sky A Newbery Honor Award Winner,"Ullman, James Ramsey","['Fiction', 'Young Adult', 'Historical Fiction', 'Adventure', 'Childrens', 'Classics', 'Middle Grade']"
Sweet Bean Paste,"Sukegawa, Durian","['Fiction', 'Japan', 'Contemporary', 'Japanese Literature', 'Literary Fiction', 'Asian Literature', 'Asia']"
The Midnight Line Jack Reacher 22,"Child, Lee *","['Fiction', 'Thriller', 'Mystery', 'Crime', 'Action', 'Suspense', 'Mystery Thriller']"
The Stars My Destination,"Bester, Alfred","['Science Fiction', 'Fiction', 'Classics', 'Cyberpunk', 'Science Fiction Fantasy', 'Space Opera', 'Fantasy']"
Searching for Faith Carissa Jones 1,"Middleton, Kristen *","['Mystery', 'Thriller', 'Fiction', 'Paranormal', 'Mystery Thriller', 'Fantasy', 'Suspense']"
The Victim Mitchells  OHaras 3,"Chambers, Kimberley *","['Crime', 'Thriller', 'Mystery']"
Ripple Breakthrough 4,"Grumley, Michael C. *","['Science Fiction', 'Fiction', 'Adventure', 'Thriller', 'Mystery', 'Action', 'Suspense']"
The Bark of the Bog Owl The Wilderking Trilogy 1,"Rogers, Jonathan","['Fantasy', 'Fiction', 'Middle Grade', 'Childrens', 'Christian', 'Christian Fiction', 'Adventure']"
The Man of Legends,"Johnson, Kenneth C.","['Fiction', 'Fantasy', 'Science Fiction', 'Mystery', 'Thriller', 'Historical Fiction', 'Urban Fantasy']"
Earthly Remains Commissario Brunetti 26,"Leon, Donna","['Mystery', 'Fiction', 'Italy', 'Crime', 'Mystery Thriller', 'Detective', 'Thriller']"
The Edge Chronicles 6 Midnight Over Sanctaphrax Third Book of Twig,"Stewart, Paul *","['Fantasy', 'Fiction', 'Young Adult', 'Middle Grade', 'Childrens', 'Adventure', 'High Fantasy']"
Eliza and Her Monsters,"Zappia, Francesca *","['Contemporary', 'Young Adult', 'Romance', 'Mental Health', 'Fiction', 'Young Adult Contemporary', 'Realistic Fiction']"
Absolutely Positively Not,"LaRochelle, David *","['Young Adult', 'LGBT', 'Humor', 'Fiction', 'Contemporary', 'Gay', 'Realistic Fiction']"
Beyond the Valley of Thorns The Land of Elyon 2,"Carman, Patrick *","['Fantasy', 'Young Adult', 'Fiction', 'Middle Grade', 'Childrens', 'Adventure', 'Magic']"
The Secret of the Swamp King The Wilderking Trilogy 2,"Rogers, Jonathan","['Fantasy', 'Fiction', 'Middle Grade', 'Christian Fiction', 'Christian', 'Adventure', 'Childrens']"
Born Evil,"Chambers, Kimberley *","['Crime', 'Fiction', 'Thriller', 'Mystery']"
The Amulet of Samarkand Bartimaeus 1,"Stroud, Jonathan *","['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Middle Grade', 'Childrens', 'Adventure']"
The Gone World,"Sweterlitsch, Tom","['Science Fiction', 'Fiction', 'Time Travel', 'Horror', 'Mystery', 'Thriller', 'Crime']"
The Sparrow The Sparrow 1,"Russell, Mary Doria *","['Science Fiction', 'Fiction', 'Fantasy', 'Science Fiction Fantasy', 'Speculative Fiction', 'Aliens', 'Adult']"
The Magicians Apprentice Black Magician 05,"Canavan, Trudi","['Fantasy', 'Magic', 'Fiction', 'Young Adult', 'High Fantasy', 'Epic Fantasy', 'Adventure']"
Every Man Dies Alone,"Fallada, Hans","['Fiction', 'Historical Fiction', 'Germany', 'War', 'German Literature', 'Classics', 'World War II']"
You Suck A Love Story 2,"Moore, Christopher *","['Humor', 'Fiction', 'Fantasy', 'Vampires', 'Comedy', 'Paranormal', 'Urban Fantasy']"
Bloodsucking Fiends A Love Story 1,"Moore, Christopher *","['Humor', 'Fiction', 'Fantasy', 'Vampires', 'Paranormal', 'Comedy', 'Urban Fantasy']"
A Dirty Job Grim Reaper 1,"Moore, Christopher *","['Humor', 'Fiction', 'Fantasy', 'Comedy', 'Paranormal', 'Urban Fantasy', 'Horror']"
Practical Demonkeeping Pine Cove 1,"Moore, Christopher *","['Humor', 'Fantasy', 'Fiction', 'Comedy', 'Horror', 'Urban Fantasy', 'Paranormal']"
Coyote Blue,"Moore, Christopher *","['Humor', 'Fiction', 'Fantasy', 'Comedy', 'Urban Fantasy', 'Mythology', 'Adult']"
The Scorsolini Marriage Bargain,"Monroe, Lucy *","['Harlequin', 'Romance', 'Contemporary Romance', 'Harlequin Presents', 'Contemporary', 'Harlequin Romance', 'Hqn']"
Abhorsen Abhorsen 3,"Nix, Garth *","['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'High Fantasy', 'Adventure', 'Young Adult Fantasy']"
Envy Luxe 3,"Godbersen, Anna","['Historical Fiction', 'Young Adult', 'Romance', 'Historical', 'Fiction', 'Historical Romance', 'Chick Lit']"
To Live,Yu Hua,"['Fiction', 'China', 'Historical Fiction', 'Chinese Literature', 'Classics', 'Asia', 'Literature']"
One Thousand White Women The Journals of May Dodd One Thousand White Women 1,"Fergus, Jim *","['Historical Fiction', 'Fiction', 'Historical', 'Book Club', 'Westerns', 'Adult', 'Adult Fiction']"
Ashoka Lion of Maurya,"Banker, Ashok K.","['Historical Fiction', 'Fiction', 'India', 'Hinduism', 'Mythology', 'Novels']"
Charlottes WebStuart Little Slipcase Gift Set,"White, E.B.","['Classics', 'Childrens', 'Fiction', 'Fantasy', 'Animals', 'Chapter Books', 'Science Fiction Fantasy']"
Happy Hour at Casa Dracula Casa Dracula 1,"Acosta, Marta *","['Vampires', 'Paranormal', 'Romance', 'Paranormal Romance', 'Fantasy', 'Fiction', 'Chick Lit']"
Secret Lucidity,"Blair, E.K. *","['Romance', 'High School', 'New Adult', 'Contemporary', 'Dark', 'Young Adult', 'Contemporary Romance']"
The Blood Detective Blood Detective 1,"Waddell, Dan *","['Mystery', 'Crime', 'Fiction', 'Thriller', 'Mystery Thriller', 'British Literature', 'Detective']"
Forest Dark,"Krauss, Nicole","['Fiction', 'Jewish', 'Contemporary', 'Israel', 'Literary Fiction', 'Novels', 'Literature']"
A Stir of Echoes,"Matheson, Richard","['Horror', 'Fiction', 'Mystery', 'Thriller', 'Paranormal', 'Fantasy', 'Supernatural']"
What Dreams May Come,"Matheson, Richard","['Fiction', 'Fantasy', 'Romance', 'Horror', 'Science Fiction', 'Classics', 'Death']"
The Missing Ones DI Lottie Parker 1,"Gibney, Patricia","['Mystery', 'Thriller', 'Crime', 'Fiction', 'Mystery Thriller', 'Suspense', 'Ireland']"
Sins of the Past A Cooper and White Mystery 1,"Derek, Julia *","['Mystery', 'Fiction', 'Thriller', 'Mystery Thriller', 'Crime', 'Suspense']"
The Crazed,"Jin, Ha","['Fiction', 'China', 'Historical Fiction', 'Literature', 'Asia', 'Politics', 'Literary Fiction']"
That Was Then This Is Now,"Hinton, S.E. *","['Young Adult', 'Fiction', 'Classics', 'Coming Of Age', 'Realistic Fiction', 'Contemporary', 'Teen']"
A Wrinkle in Time Time Quintet 1,"L'Engle, Madeleine","['Fantasy', 'Fiction', 'Classics', 'Young Adult', 'Science Fiction', 'Childrens', 'Middle Grade']"
The Heros Walk,"Badami, Anita Rau","['Fiction', 'India', 'Canada', 'Literary Fiction', 'Indian Literature', 'Contemporary', 'Asia']"
My Sister and Other Liars,"Dugdall, Ruth *","['Fiction', 'Thriller', 'Psychological Thriller', 'Mystery Thriller', 'Suspense', 'Mental Health', 'Contemporary']"
The Kings Daughter A Novel of the First Tudor Queen Rose of York,"Worth, Sandra *","['Historical Fiction', 'Tudor Period', 'Historical', 'Fiction', 'British Literature', '15th Century', 'Plantagenet']"
If Youre Reading This Its Too Late Secret 2,"Bosch, Pseudonymous *","['Mystery', 'Fantasy', 'Middle Grade', 'Fiction', 'Adventure', 'Young Adult', 'Childrens']"
Shantaram,"Roberts, Gregory David *","['Fiction', 'Travel', 'Adventure', 'Historical Fiction', 'Contemporary', 'Novels', 'Asia']"
Newcomer Detective Kaga 2,"Higashino, Keigo","['Mystery', 'Fiction', 'Japan', 'Crime', 'Japanese Literature', 'Thriller', 'Mystery Thriller']"
Dexter An Omnibus Dexter 13,"Lindsay, Jeff *","['Thriller', 'Fiction', 'Crime', 'Horror', 'Mystery', 'Adult', 'Collections']"
Taiko,"Yoshikawa, Eiji","['Historical Fiction', 'Japan', 'Fiction', 'Historical', 'Japanese Literature', 'Classics', 'Novels']"
A Question of Blood Inspector Rebus 14,"Rankin, Ian *","['Crime', 'Mystery', 'Fiction', 'Scotland', 'Detective', 'Mystery Thriller', 'Thriller']"
The Falls Inspector Rebus 12,"Rankin, Ian *","['Mystery', 'Crime', 'Fiction', 'Scotland', 'Thriller', 'Mystery Thriller', 'Detective']"
A Dangerous Path Warriors 5,"Hunter, Erin","['Fantasy', 'Animals', 'Fiction', 'Middle Grade', 'Childrens', 'Young Adult', 'Adventure']"
Someone is Watching,"Fielding, Joy","['Mystery', 'Thriller', 'Fiction', 'Suspense', 'Mystery Thriller', 'Crime', 'Psychological Thriller']"
Obsession,"Robson, Amanda *","['Thriller', 'Fiction', 'Mystery Thriller', 'Psychological Thriller', 'Suspense', 'Mystery', 'Adult']"
Tormentor Mine Tormentor Mine 1,"Zaires, Anna *","['Dark', 'Romance', 'Contemporary', 'Contemporary Romance', 'Erotica', 'Adult', 'Crime']"
Game for Seduction Bad Boys of Football 2,"Andre, Bella *","['Romance', 'Sports', 'Sports Romance', 'Contemporary Romance', 'Contemporary', 'Erotica', 'Football']"
Blood Daughter Flesh and Blood Trilogy 3,"Mitchell, Dreda Say *",['Thriller']
Daughter of the Pirate King Daughter of the Pirate King 1,"Levenseller, Tricia *","['Fantasy', 'Young Adult', 'Romance', 'Pirates', 'Young Adult Fantasy', 'Adventure', 'Fiction']"
The Notebook The Notebook 1,"Sparks, Nicholas *","['Romance', 'Fiction', 'Chick Lit', 'Contemporary', 'Adult', 'Classics', 'Adult Fiction']"
Saving the World and Other Extreme Sports Maximum Ride 3,"Patterson, James *","['Young Adult', 'Fantasy', 'Science Fiction', 'Fiction', 'Adventure', 'Paranormal', 'Romance']"
Hotel on the Corner of Bitter and Sweet,"Ford, Jamie *","['Historical Fiction', 'Fiction', 'Historical', 'Romance', 'World War II', 'Book Club', 'Adult Fiction']"
Dont You Dare Read This Mrs Dunphrey,"Haddix, Margaret Peterson","['Young Adult', 'Realistic Fiction', 'Fiction', 'Contemporary', 'Abuse', 'Middle Grade', 'Teen']"
Mission Success,"Mandino, Og","['Self Help', 'Inspirational', 'Business', 'Fiction', 'Personal Development', 'Christian', 'Spirituality']"
The Engines of God The Academy 1,"McDevitt, Jack","['Science Fiction', 'Fiction', 'Space Opera', 'Aliens', 'Science Fiction Fantasy', 'Mystery', 'Space']"
Jacob Have I Loved,"Paterson, Katherine","['Young Adult', 'Fiction', 'Historical Fiction', 'Classics', 'Childrens', 'Middle Grade', 'Realistic Fiction']"
The Tenant of Wildfell Hall,"Brontë, Anne","['19th Century', 'Historical Fiction', 'Gothic', 'Literature', 'Classic Literature', 'Historical', 'Feminism']"
The Difference Engine,"Gibson, William","['Science Fiction', 'Steampunk', 'Fiction', 'Alternate History', 'Cyberpunk', 'Fantasy', 'Historical Fiction']"
Can You Keep a Secret,"Kinsella, Sophie *","['Chick Lit', 'Romance', 'Fiction', 'Contemporary', 'Contemporary Romance', 'Humor', 'Adult']"
Crazy For You,"Crusie, Jennifer *","['Romance', 'Chick Lit', 'Contemporary Romance', 'Contemporary', 'Fiction', 'Humor', 'Adult']"
Welcome to Temptation Dempseys 1,"Crusie, Jennifer *","['Romance', 'Contemporary Romance', 'Chick Lit', 'Contemporary', 'Fiction', 'Humor', 'Mystery']"
Fast Women,"Crusie, Jennifer *","['Romance', 'Chick Lit', 'Contemporary Romance', 'Fiction', 'Contemporary', 'Mystery', 'Humor']"
Faking It Dempseys 2,"Crusie, Jennifer *","['Romance', 'Chick Lit', 'Contemporary Romance', 'Fiction', 'Contemporary', 'Humor', 'Adult']"
Veil of Midnight Midnight Breed 5,"Adrian, Lara *","['Paranormal Romance', 'Paranormal', 'Vampires', 'Romance', 'Fantasy', 'Urban Fantasy', 'Adult']"
Anyone But You,"Crusie, Jennifer *","['Romance', 'Contemporary Romance', 'Chick Lit', 'Contemporary', 'Fiction', 'Humor', 'Adult']"
Strange Bedpersons,"Crusie, Jennifer *","['Romance', 'Chick Lit', 'Contemporary Romance', 'Contemporary', 'Fiction', 'Humor', 'Adult']"
Santa Baby,"Crusie, Jennifer *","['Romance', 'Christmas', 'Contemporary Romance', 'Contemporary', 'Chick Lit', 'Anthologies', 'Holiday']"
Bonsai,"Zambra, Alejandro *","['Fiction', 'Contemporary', 'Novella', 'Latin American', 'Spanish Literature', 'Literary Fiction', 'Novels']"
The Unfortunate Miss Fortunes,"Crusie, Jennifer *","['Romance', 'Paranormal', 'Fantasy', 'Paranormal Romance', 'Chick Lit', 'Fiction', 'Contemporary Romance']"
The Devouring The Devouring 1,"Holt, Simon","['Horror', 'Young Adult', 'Paranormal', 'Fantasy', 'Supernatural', 'Demons', 'Fiction']"
Trust Me on This,"Crusie, Jennifer *","['Romance', 'Contemporary Romance', 'Chick Lit', 'Contemporary', 'Fiction', 'Humor', 'Adult']"
The Naughtiest Girl in the School The Naughtiest Girl 1,"Blyton, Enid","['Childrens', 'Fiction', 'Classics', 'Middle Grade', 'Boarding School', 'School Stories', 'School']"
The Cinderella Deal,"Crusie, Jennifer *","['Romance', 'Contemporary Romance', 'Chick Lit', 'Contemporary', 'Fiction', 'Humor', 'Adult']"
Eye of the Storm Sean Dillon 1,"Higgins, Jack","['Thriller', 'Fiction', 'Action', 'Mystery', 'Espionage', 'Adventure', 'Suspense']"
The Last Noel,"Malone, Michael","['Christmas', 'Fiction', 'Romance', 'Holiday', 'Historical Fiction', 'Contemporary', 'Book Club']"
A Tale of Two Sisters,"Maxted, Anna","['Chick Lit', 'Fiction', 'Contemporary', 'Womens Fiction', 'Family', 'Literary Fiction', 'British Literature']"
Behaving Like Adults,"Maxted, Anna","['Chick Lit', 'Fiction', 'Romance', 'Contemporary', 'British Literature', 'Humor', 'Contemporary Romance']"
Getting Over It,"Maxted, Anna","['Chick Lit', 'Fiction', 'Romance', 'Contemporary', 'British Literature', 'Adult', 'Humor']"
Running in Heels,"Maxted, Anna","['Chick Lit', 'Fiction', 'Contemporary', 'Romance', 'Humor', 'British Literature', 'Novels']"
